pre_bodyId,pre_type,pre_side,post_bodyId,post_type,post_side,weight,source_population,target_population,is_ipsilateral,survives_w3,survives_w10
20471,LPLC2,R,10001,DNp01,R,43,LPLC2,DNp01,True,True,True
20588,LC4,R,10001,DNp01,R,43,LC4,DNp01,True,True,True
21287,LC4,R,10001,DNp01,R,43,LC4,DNp01,True,True,True
28044,LPLC2,R,10001,DNp01,R,43,LPLC2,DNp01,True,True,True
13726,LPLC2,L,10010,DNp01,L,43,LPLC2,DNp01,True,True,True
23665,LPLC2,L,10010,DNp01,L,43,LPLC2,DNp01,True,True,True
25524,LPLC2,L,10010,DNp01,L,43,LPLC2,DNp01,True,True,True
31308,LC4,L,10010,DNp01,L,43,LC4,DNp01,True,True,True
517079,LPLC2,L,10010,DNp01,L,43,LPLC2,DNp01,True,True,True
23392,LC4,R,10117,DNp02,R,43,LC4,DNp02,True,True,True
21721,LC4,L,10197,DNp02,L,43,LC4,DNp02,True,True,True
23202,LC4,L,10197,DNp02,L,43,LC4,DNp02,True,True,True
518730,LC4,L,10197,DNp02,L,43,LC4,DNp02,True,True,True
518983,LC4,L,10197,DNp02,L,43,LC4,DNp02,True,True,True
21045,LPLC2,R,10283,DNp103,R,43,LPLC2,DNp103,True,True,True
22261,LPLC2,R,10283,DNp103,R,43,LPLC2,DNp103,True,True,True
17478,LC4,L,10752,DNp03,L,43,LC4,DNp03,True,True,True
100103,LPLC2,L,531898,DNp04,L,43,LPLC2,DNp04,True,True,True
20808,LC4,R,10001,DNp01,R,42,LC4,DNp01,True,True,True
20917,LC4,R,10001,DNp01,R,42,LC4,DNp01,True,True,True
22034,LC4,R,10001,DNp01,R,42,LC4,DNp01,True,True,True
26147,LPLC2,R,10001,DNp01,R,42,LPLC2,DNp01,True,True,True
28945,LC4,R,10001,DNp01,R,42,LC4,DNp01,True,True,True
24523,LC4,L,10010,DNp01,L,42,LC4,DNp01,True,True,True
520449,LC4,L,10010,DNp01,L,42,LC4,DNp01,True,True,True
31301,LC4,L,10197,DNp02,L,42,LC4,DNp02,True,True,True
20334,LPLC2,R,10283,DNp103,R,42,LPLC2,DNp103,True,True,True
32737,LPLC2,L,10417,DNp103,L,42,LPLC2,DNp103,True,True,True
518731,LPLC2,L,10417,DNp103,L,42,LPLC2,DNp103,True,True,True
515900,LC4,L,10752,DNp03,L,42,LC4,DNp03,True,True,True
17775,LPLC2,L,531898,DNp04,L,42,LPLC2,DNp04,True,True,True
22253,LPLC2,L,531898,DNp04,L,42,LPLC2,DNp04,True,True,True
21313,LC4,R,10001,DNp01,R,41,LC4,DNp01,True,True,True
23497,LPLC2,R,10001,DNp01,R,41,LPLC2,DNp01,True,True,True
